,delivery_partner,vehicle_type,delivery_mode,distance_km,package_weight_kg,delivery_cost
106,amazon logistics,truck,standard,56.3,43.65,16668.30459082037
107,shadowfax,bike,standard,114.2,28.82,2709.0423404521125
108,fedex,scooter,express,3.6,31.41,4743.114259073874
109,xpressbees,bike,express,146.2,22.55,26798.581486721487
110,ekart,ev bike,express,85.6,10.69,1753.4456465603616
111,amazon logistics,ev van,express,247.9,5.23,38352.73376327371
112,shadowfax,bike,standard,274.8,0.82,4289.552581624908
113,fedex,scooter,standard,35.7,10.8,917.1721750280979
114,fedex,van,express,259.3,27.01,79801.99690123716
115,shadowfax,ev bike,express,65.3,45.09,5204.155019631662
116,delhivery,van,express,93.1,20.89,62052.267983881975
117,blue dart,bike,standard,265.8,32.11,11540.7412494686
118,ekart,truck,standard,110.2,23.24,9963.071691530033
119,blue dart,bike,standard,6.0,0.88,282.8833939198657
120,dhl,truck,standard,16.5,21.49,12095.985309976602
121,xpressbees,ev van,standard,102.0,18.67,14580.720495251606
122,shadowfax,bike,express,265.4,15.96,15640.662956660675
123,fedex,ev van,standard,27.5,15.43,3625.835661606898
124,amazon logistics,truck,standard,59.5,7.79,8246.493746571285
125,shadowfax,bike,express,290.2,29.26,20323.218248237215
126,delhivery,scooter,standard,124.0,40.2,4458.624409481546
127,xpressbees,scooter,standard,261.9,41.68,9227.41130431757
128,shadowfax,ev van,standard,115.6,13.57,5508.657316887996
129,shadowfax,ev bike,express,156.0,14.49,5523.614147185569
130,shadowfax,van,standard,284.1,14.35,17146.20132550943
131,fedex,truck,express,287.0,8.21,114342.43815716014
132,delhivery,van,standard,50.5,31.28,16304.47179149369
133,shadowfax,van,standard,203.3,7.5,14260.685263175827
134,amazon logistics,truck,express,127.8,20.03,58413.06188383089
135,ekart,scooter,standard,45.8,27.22,862.7026837511462
136,shadowfax,ev bike,express,8.7,33.93,2960.4519253231488
137,delhivery,ev van,standard,152.8,48.37,18836.249199564358
138,dhl,ev van,express,29.0,40.89,32980.218737330106
139,dhl,scooter,standard,281.6,19.81,6354.701960429227
140,ecom express,van,express,75.7,41.47,110707.19439572231
141,blue dart,scooter,standard,132.5,14.18,4169.714735999769
142,ekart,truck,standard,218.2,34.0,17415.284278673185
143,dhl,scooter,express,152.8,10.46,11198.92139616719
144,ecom express,van,express,113.8,21.95,106233.51209128978
145,amazon logistics,bike,standard,189.3,30.78,4718.870298834994
146,delhivery,truck,standard,60.1,40.63,27236.56708414045
147,ekart,truck,express,147.7,46.57,49451.93067478663
148,amazon logistics,truck,standard,289.0,48.99,43638.75801805448
149,delhivery,van,express,235.6,42.35,125579.7704417422
150,amazon logistics,ev bike,express,101.1,9.76,3232.5016006312553
151,ekart,truck,standard,273.9,42.56,20999.70487523127
152,ecom express,scooter,standard,262.6,29.36,11059.725784214765
153,ekart,van,standard,82.2,18.81,5104.464255891171
154,dhl,truck,express,280.3,15.29,158742.99499094093
155,shadowfax,bike,express,146.1,36.12,11992.47162669159
156,blue dart,van,express,279.9,21.63,148346.8634883761
157,shadowfax,ev van,express,165.4,43.2,36881.69546233973
158,fedex,van,standard,29.9,47.31,11654.92529225867
159,amazon logistics,truck,standard,42.6,44.55,16512.682139214616
160,ecom express,ev bike,standard,149.9,23.31,4171.67071634148
161,shadowfax,scooter,standard,8.4,44.16,1475.4041511920054
162,dhl,ev bike,standard,230.8,30.01,3424.2751926942447
163,dhl,bike,express,93.0,9.37,10572.426765881866
164,dhl,van,standard,10.4,4.59,2328.301889725581
165,amazon logistics,truck,standard,194.9,2.42,17794.469129215922
166,ekart,scooter,express,182.1,2.26,4367.5732495522425
167,blue dart,ev bike,standard,38.8,40.89,2632.9536118289393
168,dhl,bike,standard,55.2,6.78,1556.8354334056462
169,delhivery,truck,express,223.3,44.36,181850.41407489817
170,delhivery,truck,express,46.2,14.83,53036.019053898664
171,delhivery,ev bike,standard,3.6,49.52,1870.7579705943574
172,xpressbees,scooter,express,297.1,22.0,33785.5195739591
173,xpressbees,bike,express,87.8,7.72,14046.742886245975
174,xpressbees,truck,express,267.4,11.53,232165.69483873397
175,fedex,ev van,standard,124.8,10.84,7384.565216099633
176,xpressbees,ev bike,express,288.9,8.3,17162.10236344133
177,blue dart,scooter,standard,129.5,39.84,5800.577057153574
178,ecom express,van,express,225.0,7.32,138124.46205479943
179,fedex,scooter,standard,289.7,24.36,4632.960102543595
180,ecom express,ev bike,standard,85.4,41.07,4054.5284577845923
181,blue dart,truck,express,9.9,30.24,65477.58043517799
182,fedex,van,standard,135.1,37.59,18183.611369341575
183,xpressbees,bike,standard,228.6,5.64,7776.51586788733
184,fedex,truck,express,169.6,41.44,100913.83527681508
185,fedex,van,express,250.7,29.97,82598.27846381102
186,blue dart,bike,standard,80.7,0.67,2427.3393358131216
187,dhl,scooter,standard,21.3,41.19,2649.6751927068117
188,ekart,ev bike,standard,67.1,32.91,737.2411999104461
189,ekart,ev bike,standard,69.4,0.99,318.98198850128813
190,xpressbees,van,standard,101.2,39.37,27177.735002486297
191,shadowfax,ev bike,standard,94.2,49.37,1818.6624928394608
192,shadowfax,ev bike,express,71.0,32.56,3908.2408530274456
193,dhl,truck,standard,37.4,42.36,21230.510093891895
194,ecom express,scooter,standard,157.0,43.03,8660.556770571638
195,delhivery,van,express,213.7,49.52,144204.6364326773
196,dhl,ev bike,express,272.6,12.84,11309.68516177246
197,blue dart,scooter,express,83.5,24.02,13010.93110954901
198,dhl,truck,express,198.5,20.1,131127.20717200421
199,ecom express,ev bike,express,158.7,35.06,16849.05405963265
200,dhl,truck,express,265.3,31.8,155713.12514054755
201,ecom express,truck,express,208.8,22.83,228176.90573074223
202,fedex,scooter,express,55.7,46.5,10030.322729060605
203,xpressbees,van,standard,80.6,45.16,30716.08717411941
204,fedex,bike,express,187.7,6.69,14105.520009264996
205,ekart,bike,standard,225.6,22.83,2513.530472366586
206,xpressbees,truck,express,24.5,0.67,19568.02098822561
207,ecom express,scooter,standard,194.3,29.51,7671.207263563773
208,ekart,van,express,52.0,43.18,23168.378386159242
209,amazon logistics,van,express,282.9,31.33,76380.58338783166
210,ekart,van,express,289.2,16.14,35894.20657366876
211,xpressbees,ev bike,standard,257.9,45.92,6035.27646570401
212,amazon logistics,van,express,258.3,42.79,92708.09378806177
213,fedex,ev van,express,288.4,44.12,64681.218331449454
214,xpressbees,van,express,86.5,37.04,101974.57243008187
215,ekart,ev van,express,157.3,4.51,11537.694284356503
216,delhivery,ev van,standard,41.0,29.25,8585.018676104204
217,delhivery,van,standard,137.4,27.87,23119.684699824356
218,fedex,ev bike,standard,32.3,46.58,1511.049457277372
219,ecom express,van,express,207.8,40.12,164376.41947734612
220,blue dart,ev van,standard,23.6,12.4,4746.514422947362
221,fedex,ev bike,standard,258.0,37.92,3589.8671674825587
222,xpressbees,van,express,255.6,18.93,156936.05667100812
223,blue dart,scooter,standard,289.7,19.13,8339.179469215771
224,xpressbees,ev van,express,9.1,45.65,42993.122830846325
225,ekart,truck,standard,245.8,4.19,13176.645330025738
226,amazon logistics,ev bike,standard,88.6,8.67,938.6407347877582
227,shadowfax,ev bike,standard,59.6,20.84,869.8232651922203
228,fedex,bike,express,225.4,22.3,19238.00563746457
229,blue dart,scooter,express,36.9,45.45,13735.529070232196
230,fedex,ev van,express,262.9,31.73,51215.081335989315
231,amazon logistics,scooter,standard,262.7,28.7,3972.9079680175564
232,delhivery,ev van,standard,167.2,35.91,19214.477898532255
233,xpressbees,van,express,127.4,3.49,66641.20783027915
234,fedex,ev van,standard,267.0,26.49,16150.019616273325
235,xpressbees,truck,express,214.0,34.34,219253.96425208263
236,shadowfax,bike,express,10.6,42.68,7536.117732620587
237,dhl,scooter,express,124.2,1.02,8185.433767110295
238,ekart,ev van,standard,129.5,13.38,3405.8773894512274
239,shadowfax,scooter,express,257.0,10.83,11182.464833352258
240,blue dart,scooter,standard,264.9,43.16,9230.20310879274
241,shadowfax,bike,standard,163.5,19.83,3384.297980983911
242,delhivery,truck,express,34.6,47.42,98257.55300527356
243,shadowfax,ev bike,standard,183.1,38.15,1944.3126641342408
244,shadowfax,ev van,standard,138.7,43.15,10512.571419798905
245,delhivery,ev van,express,127.5,41.92,52888.067309316546
246,xpressbees,ev van,standard,295.3,8.06,24733.728186104938
247,dhl,ev van,express,297.1,2.64,66795.84107775545
248,amazon logistics,truck,express,123.5,29.37,72441.47335606064
249,delhivery,ev bike,standard,280.4,3.78,4103.715369057996
250,blue dart,truck,express,74.1,28.64,105616.84157722216
251,fedex,bike,express,58.9,11.97,6138.33292561434
252,blue dart,bike,standard,197.4,47.42,9454.473581382967
253,ekart,bike,express,150.6,22.4,6908.761636948523
254,shadowfax,van,standard,224.0,31.45,17287.177729581497
255,blue dart,van,standard,33.9,29.91,14705.2509226559
256,xpressbees,truck,standard,145.2,46.17,54597.806714176564
257,delhivery,truck,standard,204.9,41.15,56905.85045378866
258,blue dart,van,standard,150.8,39.64,32684.41390323806
259,shadowfax,ev bike,standard,86.6,16.17,1050.656525476909
260,amazon logistics,ev van,standard,150.7,17.56,7499.244976929176
261,blue dart,scooter,standard,176.0,18.92,5300.158625161657
262,ekart,scooter,standard,165.6,18.69,1472.2131750994495
263,ecom express,ev van,standard,170.2,44.12,29857.25857002751
264,ecom express,ev van,express,133.4,24.33,67387.71983944725
265,shadowfax,scooter,express,100.0,33.34,7058.9290423734865
266,fedex,truck,standard,22.1,11.47,6018.306170180996
267,dhl,truck,standard,14.9,49.35,23690.383253596126
268,shadowfax,truck,standard,160.6,48.08,24916.841352366784
269,shadowfax,ev van,express,257.8,30.28,40600.15076079323
270,ekart,bike,standard,235.9,46.05,3185.0271214361787
271,delhivery,truck,express,161.3,41.74,143167.54603023504
272,blue dart,scooter,express,192.2,4.85,16732.990524326575
273,ecom express,ev bike,standard,293.0,48.5,8416.206677393786
274,dhl,truck,express,290.2,15.21,158145.2834540734
275,fedex,ev bike,standard,297.1,10.39,3187.2518192792377
276,fedex,ev van,express,5.9,49.52,23494.546876080112
277,amazon logistics,ev bike,express,191.2,5.3,5710.316936347365
278,delhivery,ev van,express,223.8,32.15,68729.11794541367
279,delhivery,ev bike,standard,31.8,46.64,2329.568672589125
280,ekart,truck,standard,109.6,49.52,12154.447623218977
281,fedex,van,standard,50.4,43.7,12821.628189054463
282,xpressbees,van,standard,116.0,45.04,36085.10813120778
283,fedex,van,standard,132.9,24.05,15824.368285295652
284,dhl,truck,express,54.3,47.84,102429.34383435863
285,ecom express,ev bike,express,149.3,9.87,11938.160200268872
286,blue dart,van,standard,57.1,12.91,11401.611273293298
287,shadowfax,truck,standard,276.8,10.69,26226.44848826709
288,fedex,van,standard,51.7,34.82,11235.84466756758
289,fedex,truck,standard,154.3,1.91,18577.763600815815
290,amazon logistics,ev bike,standard,103.9,11.4,971.6995344742114
291,ekart,van,express,127.4,22.72,24594.312458410885
292,ecom express,van,express,117.4,18.36,98460.79689815552
293,ekart,scooter,express,293.6,0.67,6797.596753697245
294,fedex,van,express,199.4,11.71,62998.20465492726
295,fedex,van,standard,15.6,2.87,1713.6002753588593
296,amazon logistics,bike,standard,250.7,11.8,4359.892150129139
297,dhl,ev van,express,164.1,25.8,44174.40991474569
298,ekart,ev van,express,35.8,18.21,6608.459691141511
299,delhivery,scooter,express,142.0,41.28,19403.11989851561
300,dhl,ev van,standard,40.9,19.04,5823.85958853063
301,amazon logistics,scooter,express,167.7,20.09,9252.228580432144
302,delhivery,van,standard,111.8,15.89,15815.55278390769
303,ecom express,bike,express,21.0,8.0,6044.929491740885
304,fedex,truck,standard,196.4,10.26,26388.69704723978
305,blue dart,van,express,70.8,46.37,89532.60316289052
306,ekart,scooter,standard,230.1,25.52,1950.4207893657695
307,fedex,scooter,standard,271.2,45.63,5434.790446656215
308,ekart,ev van,standard,73.6,30.03,3426.7166525460425
309,delhivery,ev bike,standard,92.4,17.36,1793.5307950060624
310,shadowfax,bike,standard,14.9,49.46,2152.564804771801
311,xpressbees,bike,express,145.0,3.55,17023.587542417332
312,blue dart,bike,standard,252.2,46.23,11800.565465790402
313,ekart,scooter,express,33.9,21.07,2175.485384446603
314,ekart,ev bike,standard,51.2,39.62,776.0885940183131
315,shadowfax,bike,standard,223.6,40.23,5098.583860373206
316,xpressbees,scooter,standard,191.8,15.48,5883.800134584805
317,xpressbees,bike,standard,60.6,4.14,2348.1170253356822
318,ecom express,truck,standard,52.2,39.45,38018.23301839631
319,xpressbees,ev bike,express,22.1,36.84,7042.096043149578
320,ekart,truck,express,6.3,13.42,8932.854102500933
321,delhivery,ev van,standard,127.4,42.36,16243.3271704268
322,shadowfax,ev bike,standard,33.2,27.73,799.7248749209795
323,ecom express,ev bike,express,88.3,38.22,14394.441151486173
324,ecom express,scooter,express,262.3,23.86,35742.460514632796
325,ekart,ev van,express,15.8,4.79,2233.149442240288
326,ekart,truck,standard,239.2,4.47,12240.442649914681
327,delhivery,bike,express,115.1,33.73,21587.85866100467
328,blue dart,bike,express,124.2,49.52,27373.116768477412
329,fedex,ev van,standard,291.8,38.8,16933.45828808861
330,fedex,scooter,standard,171.0,23.14,3434.380161989412
331,dhl,van,standard,12.0,43.81,12026.911824576606
332,ekart,ev bike,express,238.4,24.39,4471.550303367278
333,amazon logistics,ev bike,standard,166.8,28.47,1955.3520324169128
334,fedex,bike,standard,233.3,16.84,5176.239817543765
335,amazon logistics,truck,express,46.2,34.0,45882.776884019106
336,ecom express,ev van,express,79.5,28.58,60663.861991041806
337,ekart,van,express,273.2,47.03,45460.880936366804
338,blue dart,truck,standard,129.5,19.91,34867.29004885766
339,ecom express,scooter,express,153.7,24.73,21602.363675738594
340,shadowfax,ev bike,express,193.3,8.82,5263.830876359979
341,ekart,bike,standard,159.0,38.64,2441.7016595737746
342,shadowfax,truck,standard,225.4,49.16,31289.926476987348
343,fedex,van,express,67.7,48.92,50893.626828513006
344,ecom express,truck,standard,276.3,23.98,84292.52060196664
345,ekart,van,express,17.1,26.57,11022.113114499109
346,ecom express,ev van,express,150.4,15.12,61786.890868306145
347,ecom express,ev van,standard,297.1,48.54,45055.00573805021
348,blue dart,scooter,express,198.0,5.95,18153.87809515323
349,blue dart,bike,express,145.2,38.94,29159.733404736435
350,fedex,van,express,285.8,28.09,97262.51421552987
351,delhivery,truck,express,24.3,32.34,65456.885719013684
352,ekart,ev bike,standard,127.3,31.7,998.9111108474989
353,dhl,truck,express,271.2,21.93,150740.99615178557
354,ecom express,truck,standard,204.4,26.11,66198.22531679375
355,ecom express,bike,express,111.2,34.93,30003.693982524717
356,blue dart,ev bike,express,293.3,47.56,21381.61674485248
357,ecom express,scooter,express,228.0,20.54,26404.01304545026
358,delhivery,van,express,293.2,22.4,137605.3964547245
359,xpressbees,van,standard,175.5,8.95,26380.85458515633
360,amazon logistics,bike,express,3.6,33.73,5621.383156605414
361,ecom express,van,standard,291.6,45.93,61791.04068463557
362,ekart,van,standard,247.4,26.71,10110.701098992591
363,ecom express,scooter,standard,165.5,12.13,6086.742931984213
364,blue dart,scooter,express,49.1,23.26,8818.496318251367
365,fedex,bike,express,264.4,23.82,20571.172044468647
366,fedex,ev van,standard,191.6,12.02,9902.004673474505
367,ekart,scooter,express,3.6,27.96,1888.3518117888996
368,delhivery,ev van,standard,148.6,30.89,15656.729644111942
369,xpressbees,ev van,express,294.7,12.88,89263.62115101458
370,dhl,van,standard,176.2,22.79,23976.650549964557
371,shadowfax,ev bike,standard,213.5,32.62,2158.8972719643166
372,dhl,scooter,standard,197.8,45.41,5559.36849664661
373,dhl,scooter,express,156.1,4.66,10538.272256486309
374,amazon logistics,ev van,standard,207.9,44.9,14525.245783560109
375,delhivery,truck,express,59.5,6.85,40490.99874177794
376,xpressbees,ev bike,express,102.0,24.77,10965.09397201791
377,xpressbees,ev van,standard,266.9,44.04,35774.93216395928
378,dhl,bike,express,81.7,46.02,18807.366282627638
379,ekart,scooter,standard,125.6,39.58,1573.9366375066863
380,delhivery,ev van,standard,31.9,4.86,3020.1156449120363
381,ecom express,bike,standard,279.2,15.87,11725.603182934694
382,ecom express,van,standard,81.5,9.82,16738.873665479936
383,ekart,bike,express,174.7,26.14,7151.291362542491
384,delhivery,scooter,express,120.2,19.66,12097.177642654478
385,blue dart,scooter,express,104.7,45.94,17317.19930923068
386,delhivery,scooter,standard,51.3,12.1,1708.5117414522556
387,amazon logistics,ev bike,standard,297.1,42.42,3054.792320335095
388,ecom express,scooter,standard,87.5,18.02,3698.1504678301526
389,blue dart,ev bike,standard,119.5,43.59,3875.850545692303
390,xpressbees,ev van,express,58.6,13.04,27811.23979692151
391,blue dart,truck,express,188.6,21.04,144657.77215551742
392,dhl,truck,express,26.8,19.35,43291.352111682216
393,shadowfax,van,express,199.2,38.15,63014.76331820703
394,xpressbees,ev bike,express,151.4,31.11,14153.872273635068
395,amazon logistics,ev bike,standard,194.6,47.14,2653.4452475410612
396,delhivery,ev van,standard,3.6,8.13,1843.5975660500874
397,blue dart,scooter,express,202.4,49.52,26984.898757310693
398,ekart,ev bike,standard,14.7,4.68,124.31174934752383
399,ekart,bike,standard,275.3,26.86,2978.4241555128556
400,ecom express,van,express,238.2,10.53,150812.88112332756
401,xpressbees,bike,standard,38.0,24.15,3623.2412903427075
402,ekart,truck,express,167.3,38.22,53886.348700758055
403,ecom express,ev van,express,287.1,24.05,111537.20295452206
404,fedex,ev bike,standard,73.5,42.84,1727.0308009019152
405,fedex,ev bike,express,22.7,35.35,4042.8983536939368
406,dhl,truck,standard,127.3,25.67,30099.975650626584
407,blue dart,truck,standard,42.3,47.15,35864.780657072464
408,ecom express,bike,express,233.5,40.49,50378.395193823606
409,delhivery,ev bike,standard,273.7,47.53,5377.043174082192
410,blue dart,ev bike,standard,135.4,27.11,3157.483860348799
411,ekart,bike,standard,297.1,46.75,3348.975280157013
412,ekart,truck,standard,57.8,7.31,4374.778794155473
413,blue dart,van,express,275.4,46.96,161833.94089010984
414,delhivery,truck,express,97.7,25.56,105953.56229794312
415,xpressbees,ev bike,express,270.7,0.67,14984.605869914507
416,ecom express,scooter,express,271.4,40.57,42231.526868972054
417,blue dart,ev van,standard,105.3,44.66,17246.841058794405
418,ekart,van,standard,7.1,28.02,3059.811661713989
419,fedex,truck,standard,91.5,22.4,17470.321955949115
420,ecom express,bike,express,131.5,43.96,33205.21223625722
421,xpressbees,bike,standard,295.2,2.76,9827.301003088991
422,xpressbees,scooter,express,207.2,42.44,31830.581494789032
423,shadowfax,ev van,standard,190.8,35.44,10049.047899433015
424,dhl,scooter,standard,193.9,30.19,5092.183097010685
425,blue dart,van,standard,119.5,29.41,25272.704096233647
426,amazon logistics,ev van,express,207.2,13.92,30982.90223305884
427,amazon logistics,scooter,express,84.6,10.04,4383.9994521815825
428,delhivery,ev bike,standard,225.9,29.22,3901.2494381844663
429,xpressbees,bike,standard,195.9,17.75,8591.040484053008
430,delhivery,bike,express,224.2,13.03,24080.497427979346
431,xpressbees,bike,standard,46.3,28.81,4030.527900594534
432,amazon logistics,bike,express,166.1,27.21,13760.890586099436
433,blue dart,truck,express,58.3,16.4,61105.878562229766
434,dhl,bike,express,94.2,32.09,15850.51827482973
435,blue dart,truck,express,237.8,2.59,163967.54916931156
436,shadowfax,truck,express,125.8,45.59,82395.01683629489
437,ecom express,scooter,express,15.9,7.17,4022.6273551849895
438,delhivery,bike,standard,267.7,44.08,10856.360027348115
439,dhl,bike,standard,33.1,22.89,2110.4462920263577
440,ecom express,bike,express,149.7,38.51,36946.766718641215
441,ekart,truck,standard,143.1,32.12,11654.602887671392
442,blue dart,ev van,standard,120.3,27.16,14571.030150109842
443,fedex,van,standard,3.6,43.43,9675.284420563363
444,fedex,truck,express,77.0,8.6,41317.120493785675
445,shadowfax,scooter,express,47.5,49.39,7325.933743537153
446,ekart,bike,standard,49.9,40.86,1469.1611278177843
447,ecom express,scooter,express,38.8,46.55,17106.211302842752
448,fedex,van,express,247.4,48.42,98664.79331408834
449,ekart,ev van,express,31.2,9.96,4799.002257100923
450,ecom express,scooter,express,100.6,48.61,25270.97163658602
451,ecom express,ev van,standard,174.4,28.69,25847.57473939372
452,fedex,truck,standard,13.2,29.97,10413.295723063402
453,delhivery,van,standard,158.0,14.34,22417.043720687394
454,shadowfax,truck,express,139.7,9.7,48262.9773132075
455,fedex,ev bike,standard,257.6,8.83,2401.2862714086646
456,blue dart,ev bike,express,35.7,1.78,2147.1076777327876
457,shadowfax,ev van,express,18.5,18.34,8818.693925194544
458,amazon logistics,truck,standard,45.0,41.0,14350.543732258964
459,delhivery,bike,express,143.4,36.95,24194.42298988519
460,xpressbees,van,standard,32.4,1.8,4965.650400192475
461,blue dart,ev van,standard,185.1,40.6,22164.43132812767
462,xpressbees,scooter,standard,238.2,27.95,8594.274110877623
463,dhl,van,express,167.1,14.89,62754.56805372901
464,delhivery,truck,express,108.2,24.92,96163.0349925346
465,ecom express,truck,express,134.6,1.15,121716.26456478485
466,blue dart,ev van,express,73.5,22.24,40018.81904904425
467,shadowfax,truck,express,255.8,14.6,84562.21681431771
468,blue dart,bike,express,97.7,30.76,18542.18712806746
469,ecom express,scooter,express,257.7,39.95,39601.78999297352
470,xpressbees,truck,standard,289.8,26.78,70167.49051039465
471,amazon logistics,ev bike,standard,77.4,31.25,1465.442535036461
472,dhl,truck,express,257.5,48.95,175066.77549312383
473,fedex,ev bike,standard,251.1,36.65,3218.04660367257
474,shadowfax,scooter,express,183.8,10.06,7447.182923113036
475,amazon logistics,bike,standard,250.3,48.18,6524.038379077008
